Key,Id,Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Hebrew(he),Hungarian(hu),Japanese(ja),Korean(ko),Polish(pl),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es),Swedish(sv),Thai(th),Turkish(tr)
menu.start,365883797504,开始,START,COMMENCER,START,הַתחָלָה,INDUL,始める,시작,START,COMEÇAR,НАЧИНАТЬ,COMENZAR,START,เริ่ม,BAŞLANGIÇ
menu.option,,选项,OPTIONS,OPTIONS,Optionen,אפשרויות,LEHETŐSÉGEK,オプション,옵션,OPCJE,OPÇÕES,ПАРАМЕТРЫ,OPCIONES,ALTERNATIV,ตัวเลือก,SEÇENEKLER
menu.exit,,出口,EXIT,SORTIE,AUSFAHRT,יְצִיאָה,KIJÁRAT,出口,출구,WYJŚCIE,SAÍDA,ВЫХОД,SALIDA,UTGÅNG,ทางออก,ÇIKIŞ
menu.tutorial,,教程,TUTORIAL,TUTORIEL,ANLEITUNG,שֶׁל מוֹרֶה,ÚTMUTATÓ,チュートリアル,지도 시간,SEMINARIUM,TUTORIAL,УЧЕБНОЕ ПОСОБИЕ,TUTORIAL,HANDLEDNING,บทช่วยสอน,EĞİTİM VİDEOSU
settings.settings,,设置,Settings,Paramètres,Einstellungen,הגדרות,Beállítások,設定,설정,Ustawienia,Configurações,Настройки,Ajustes,Inställningar,การตั้งค่า,Ayarlar
settings.pushalarm,,推送警报,Push Alarm,Alarme à pousser,Push-Alarm,אזעקת דחיפה,Nyomógombos riasztás,プッシュアラーム,푸시 알람,Alarm Push,Alarme de notificação,Нажми кнопку будильника,Alarma de empuje,Trycklarm,การแจ้งเตือนแบบกด,Bildirim
settings.pushalarm.on,,在,ON,SUR,AN,עַל,BE,の上,에,NA,SOBRE,НА,EN,PÅ,บน,AÇIK
settings.pushalarm.off,,离开,OFF,DÉSACTIVÉ,AUS,כבוי,KI,オフ,끄다,WYŁĄCZONY,DESLIGADO,ВЫКЛЮЧЕННЫЙ,APAGADO,AV,ปิด,KAPALI
settings.soundfx,,音效,Sound Fx,Effets sonores,Soundeffekte,אפקטי סאונד,Hangeffektek,サウンドエフェクト,사운드 효과,Efekty dźwiękowe,Efeitos sonoros,Звуковые эффекты,Efectos de sonido,Ljudeffekter,เอฟเฟ็กต์เสียง,Ses Efektleri
settings.music,,音乐,Music,Musique,Musik,מוּסִיקָה,Zene,音楽,음악,Muzyka,Música,Музыка,Música,Musik,ดนตรี,Müzik
settings.vibration,,振动,Vibration,Vibration,Vibration,רֶטֶט,Rezgés,振動,진동,Wibracja,Vibração,Вибрация,Vibración,Vibration,การสั่นสะเทือน,Titreşim
settings.vibration.on,,在,ON,SUR,AN,עַל,BE,の上,에,NA,SOBRE,НА,EN,PÅ,บน,AÇIK
settings.vibration.off,,离开,OFF,DÉSACTIVÉ,AUS,כבוי,KI,オフ,끄다,WYŁĄCZONY,DESLIGADO,ВЫКЛЮЧЕННЫЙ,APAGADO,AV,ปิด,KAPALI
settings.facebook,,Facebook,Facebook,Facebook,Facebook,פייסבוק,Facebook,フェイスブック,페이스북,Facebook,Facebook,Фейсбук,Facebook,Facebook,เฟซบุ๊ก,Facebook
settings.connect,,连接,CONNECT,CONNECTER,VERBINDEN,לְחַבֵּר,KAPCSOLAT,接続する,연결하다,ŁĄCZYĆ,CONECTAR,СОЕДИНЯТЬ,CONECTAR,ANSLUTA,เชื่อมต่อ,BAĞLAMAK
settings.connected,,已连接,CONNECTED,CONNECTÉ,VERBUNDEN,מְחוּבָּר,CSATLAKOZVA,接続,연결된,POŁĄCZONY,CONECTADO,ПОДКЛЮЧЕНО,CONECTADO,ANSLUTEN,เชื่อมต่อ,BAĞLANTILI
settings.gamecenter,,游戏中心,Game Center,Centre de jeux,Spielzentrum,מרכז משחקים,Játékközpont,ゲームセンター,게임 센터,Centrum gier,Centro de jogos,Игровой центр,Centro de juegos,Spelcenter,ศูนย์เกม,Oyun Merkezi
settings.logout,,注销,Logout,Déconnexion,Abmelden,התנתק,Kijelentkezés,ログアウト,로그아웃,Wyloguj,Sair,Выйти,Cerrar sesión,Utloggning,ออกจากระบบ,Çıkış yap
settings.userid,,用户身份,User ID,ID de l'utilisateur,Benutzer-ID,מזהה משתמש,Felhasználói azonosító,ユーザーID,사용자 ID,Identyfikator użytkownika,ID do usuário,ID пользователя,ID de usuario,Användar-ID,รหัสผู้ใช้,Kullanıcı kimliği
settings.like,,喜欢,Like,Comme,Wie,כְּמוֹ,Mint,のように,좋다,Tak jak,Como,Нравиться,Como,Som,ชอบ,Beğenmek
settings.about,,关于,About,À propos,Um,אוֹדוֹת,Körülbelül,について,에 대한,O,Sobre,О,Acerca de,Om,เกี่ยวกับ,Hakkında
